rc,rc_ms,eou_ms,asr_final_median_ms,asr_final_p90_ms,ttft_median_ms,ttft_p90_ms,wer_mean,wer_median,n,false_cuts
1,160,350,417.9,423.7,960.8,1089.9,0.0,0.0,8,0
1,160,500,572.2,583.9,1139.0,1223.6,0.0,0.0,8,0
1,160,650,723.9,729.3,1274.9,1364.6,0.0,0.0,8,0
1,160,800,876.1,878.6,1451.9,1528.1,0.0,0.0,8,0
1,160,1000,1077.2,1083.6,1631.4,1798.7,0.0,0.0,8,0
3,320,350,412.4,432.0,994.6,1015.3,0.0,0.0,8,0
3,320,500,566.0,582.6,1127.2,1226.4,0.0,0.0,8,0
3,320,650,717.8,746.7,1261.7,1368.4,0.0,0.0,8,0
3,320,800,866.7,903.6,1436.7,1596.0,0.0,0.0,8,0
3,320,1000,1066.4,1093.9,1645.5,1692.9,0.0,0.0,8,0
6,560,350,416.2,455.4,957.2,1071.2,0.0,0.0,8,0
6,560,500,578.3,630.7,1146.5,1267.7,0.0,0.0,8,0
6,560,650,723.9,739.6,1293.0,1418.8,0.0,0.0,8,0
6,560,800,866.1,884.8,1421.4,1522.6,0.0,0.0,8,0
6,560,1000,1088.2,1108.0,1637.7,1700.2,0.0,0.0,8,0
